lambda1,P11_Pow(I1),P11_Pow(I2),P11_Cosh(I1),P11_Cosh(I2),P11_Sinh(I1),P11_Sinh(I2),P11_Cosh(I4),P11_Cosh(I6),P11_Sinh(I4),P11_Sinh(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Cosh(I1),P22_Cosh(I2),P22_Sinh(I1),P22_Sinh(I2),P22_Cosh(I4),P22_Cosh(I6),P22_Sinh(I4),P22_Sinh(I6)
1.1111111111111112,0.01647149863022405,0.042817844540980886,0.001778818595852195,0.00199003905158997,0.0021537284695904908,0.0023808382824081543,1.3163028910792435e-05,0.0001892522884480241,3.7642717084439086e-05,0.026753715751616072,1.1111111111111112,0.0024707247945336074,0.006422676681147133,0.00026682278937782927,0.00029850585773849553,0.0003230592704385735,0.00035712574236122313,0.0,0.0,0.0,0.0
1.1131313131313132,0.01803090520715597,0.046971659240854474,0.0019425574684693765,0.0021817797634307336,0.00236187887110648,0.002615384700016423,1.3467283259152916e-05,0.0001873428706023732,3.8343163741701007e-05,0.027091779137311922,1.1131313131313132,0.0027046357810735,0.007045748886128811,0.0002913836202704201,0.00032726696451463786,0.0003542818306659928,0.000392307705002502,0.0,0.0,0.0,0.0
1.1151515151515152,0.01970580259792139,0.0514388701737032,0.002118028839931922,0.002387886283964121,0.0025858387404242918,0.0028679577568017757,1.3774080895852861e-05,0.00018540768745794453,3.904417552731481e-05,0.027426056074676644,1.1151515151515152,0.0029558703896882823,0.007715830526055907,0.0003177043259897942,0.0003581829425946356,0.0003878758110636495,0.00043019366352029355,0.0,0.0,0.0,0.0
1.117171717171717,0.021502447143460522,0.056236476469449376,0.0023058448244626384,0.0026091349550523115,0.002826492977088101,0.003139558772402451,1.4083434113928917e-05,0.00018344990723241669,3.974575209268142e-05,0.027756601991602826,1.117171717171717,0.0032253670715190396,0.008435471470416882,0.0003458767236693958,0.0003913702432578217,0.00042397394656322116,0.0004709338158603399,0.0,0.0,0.0,0.0
1.119191919191919,0.023427314630143994,0.061382039067730314,0.00250663845217322,0.0028463284325550824,0.0030847590364805584,0.0034312233923985674,1.4395355239930978e-05,0.00018147251557440176,4.0447893092373155e-05,0.028083471189117484,1.119191919191919,0.003514097194521725,0.00920730586016017,0.0003759957678259929,0.00042694926488328846,0.00046271385547209666,0.0005146835088598145,0.0,0.0,0.0,0.0
1.121212121212121,0.025487104083554035,0.06689368689025539,0.0027210641035383823,0.0031002961304173386,0.0033615875543292393,0.003744022028877325,1.4709856633969259e-05,0.00017947832478539192,4.115059818413352e-05,0.02840671687219392,1.121212121212121,0.0038230656125331055,0.010034053033538309,0.0004081596155307574,0.0004650444195626002,0.0005042381331493923,0.0005616033043315988,0.0,0.0,0.0,0.0
1.1232323232323231,0.0276887415808501,0.07279012290647463,0.002949797958203794,0.00337189467961753,0.0036579629789248594,0.0040790603033715,1.5026950689761528e-05,0.0001774699825892423,4.185386702887665e-05,0.028726391179541483,1.1232323232323231,0.004153311237127515,0.010918518435971193,0.00044246969373056916,0.00050578420194263,0.000548694446838729,0.0006118590455057315,0.0,0.0,0.0,0.0
1.1252525252525252,0.030039384082920773,0.07909063009678731,0.0031935384592963866,0.003662008403811397,0.003974904212237758,0.004437479494497428,1.5346649834680693e-05,0.00017544998047151015,4.255769929068735e-05,0.02904254521241112,1.1252525252525252,0.00450590761243812,0.011863594514518096,0.000479030768894458,0.0005493012605717096,0.0005962356318356637,0.000665621924174607,0.0,0.0,0.0,0.0
1.1272727272727272,0.0325464232874149,0.08581507731685586,0.0034530067944663558,0.003971549813579441,0.004313465261307038,0.004820456992977499,1.5668966529802346e-05,0.0001734206616098427,4.326209463682032e-05,0.0293552290624527,1.1272727272727272,0.0048819634931122355,0.012872261597528585,0.0005179510191699495,0.0005957324720369405,0.0006470197891960558,0.0007230685489466548,0.0,0.0,0.0,0.0
1.1292929292929292,0.03521748950381505,0.09298392506697677,0.003728947394969506,0.004301460121312217,0.0046747359015084184,0.005229206767212657,1.5993913269952543e-05,0.00017138422841553967,4.396705273770012e-05,0.02966449183865945,1.1292929292929292,0.005282623425572257,0.013947588760046523,0.000559342109245426,0.0006452190181968332,0.0007012103852262624,0.0007843810150818997,0.0,0.0,0.0,0.0
